name,value,uncertainty_up,uncertainty_down
B_An,0.0003213653398840901,0.025865626855712247,0.025865626855712247
B_Ar,0.0038167952392699836,0.020894054656339055,0.020894054656339055
B_Ak,0.0024019678797816174,0.02368443670232273,0.02368443670232273
B_Bn,0.0035763046380251073,0.026331158936897865,0.026331158936897865
B_Br,-0.002734934770630295,0.020720222572726633,0.020720222572726633
B_Bk,-0.003021521672466336,0.02247964788874227,0.02247964788874227
C_nn,-0.5575673252111552,0.03686942413501415,0.03686942413501415
C_nr,-0.0052500620698457704,0.03731422094482004,0.03731422094482004
C_nk,0.01145023955460486,0.03614696896757956,0.03614696896757957
C_rn,0.015306269813122808,0.03492147550788618,0.03492147550788618
C_rr,-0.3153849431882062,0.031896102355803646,0.031896102355803646
C_rk,-0.006581660727703196,0.03639459911034228,0.03639459911034228
C_kn,-0.00936968232093353,0.036468271711814146,0.036468271711814146
C_kr,0.012088285278743397,0.03567722412297705,0.03567722412297705
C_kk,-0.5988880422060212,0.0359052684775335,0.0359052684775335
Concurrence,0.32144987345592296,0.019838279530962982,0.020374230559641313
Ckk + Cnn,-0.2577581949559187,0.051463994602938906,0.051463994602938906
Ckk - Cnn,-1.372892845378229,0.051463994602938906,0.051463994602938906
Ckk + Crr,-0.49994057697886773,0.04802655150992692,0.04802655150992692
Ckk - Crr,-1.13071046335528,0.04802655150992692,0.04802655150992692
Cnn + Crr,-0.5412612939737338,0.04875157209300503,0.04875157209300503
Cnn - Crr,-1.1720311803501462,0.04875157209300503,0.04875157209300503
