train_size,model,pairing,concurrence,uncertainty,deltaD,epoch,val_loss
15,SSL,45.25 ,0.31727510850872553 ,0.009398122348720677 ,2.96 ,234,1.46
15,Nominal,48.28 ,0.0.3172751048648882 ,0.005873428205628904 ,1.85 ,277,1.11
15,Scratch,24.32 ,0.3172751068945792 ,0.008487499200720802 ,2.68 ,198,1.87
15,Ref.,,,,5.26 ,,
148,SSL,79.33 ,0.31727512144695913 ,0.005965270132320999 ,1.88 ,282,1.02
148,Nominal,82.17 ,0.31727511722751667 ,0.00511066176368874 ,1.61 ,145,0.87
148,Scratch,79.63 ,0.3172751179207626 ,0.005974764301921151 ,1.88 ,255,1.03
148,Ref.,,,,5.26 ,,
1475,SSL,81.99 ,0.31727512192820495 ,0.005375400853265356 ,1.69 ,171,0.91
1475,Nominal,82.38 ,0.317275116645458 ,0.005044229651974414 ,1.59 ,63,0.86
1475,Scratch,81.83 ,0.31727511771273925 ,0.0052097692312176825 ,1.64 ,87,0.91
1475,Ref.,,,,5.26 ,,
2950,SSL,82.19 ,0.3172751210597295 ,0.0.0053636948212974255 ,1.69 ,105,0.90
2950,Nominal,81.96 ,0.3172751181026061 ,0.005058945487399935 ,1.59 ,48,0.86
2950,Scratch,81.12 ,0.3172751174784595 ,0.005097861654619576 ,1.61 ,55,0.89
2950,Ref.,,,,5.26 ,,
